Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2005,VA,Virginia,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,318,65.4,58.5,72.3,800,%,Crude Prevalence,,,BRFSS,CLASS17,Topic15,51,INCOME1,CAT6,_RFSMOK3,RESP054,"(37.542680674, -78.457890463)"
2000,MO,Missouri,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,35-44,Age Group,183,19.2,15.8,22.6,550,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,29,AGE03,CAT3,_SMOKER2,RESP070,"(38.635790776, -92.566300053)"
1997,ME,Maine,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,25-34,Age Group,63,21.2,16.2,26.2,1065,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,23,AGE02,CAT3,_CHLDCNT,RESP094,"(45.254228894001, -68.985031336)"
2000,VA,Virginia,Demographics,Income,What is your annual household income?,"Less than $15,000",55-64,Age Group,12,5.4,2.2,8.6,1304,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,51,AGE05,CAT3,INCOME,RESP016,"(37.542680674, -78.457890463)"
2004,OH,Ohio,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,Some post-H.S.,Education Attained,538,27.6,23.0,32.2,874,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,39,EDUCA3,CAT5,_DENTVST,RESP054,"(40.060210141, -82.404260056)"
1999,IA,Iowa,Demographics,Race,What is your race/ethnicity?,White,Female,Gender,2104,95.8,94.8,96.8,768,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,19,SEX2,CAT2,RACE,RESP005,"(42.469400913, -93.816490556)"
2009,RI,Rhode Island,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,18-24,Age Group,1,0.6,0.0,1.7,641,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,44,AGE01,CAT3,CVDCRHD4,RESP046,"(41.708280193, -71.522470314)"
2008,GU,Guam,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"$50,000+",Household Income,78,92.4,87.0,97.8,2168,%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,66,INCOME5,CAT6,_RFPAP32,RESP046,"(13.444304, 144.793731)"
1997,GA,Georgia,Alcohol Consumption,Alcohol Consumption,"During the past month, have you had at least one drink of any alcoholic beverage?",No,35-44,Age Group,296,45.8,41.7,49.9,640,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,13,AGE03,CAT3,DRINKANY,RESP054,"(32.839681093, -83.627580346)"
1999,HI,Hawaii,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,45-54,Age Group,45,9.3,5.6,13.0,167,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,15,AGE04,CAT3,HLTHPLAN,RESP054,"(21.304850435, -157.857749403)"
2007,DC,District of Columbia,Physical Activity,Physical Activity,"Adults with 30+ minutes of moderate physical activity five or more days per week, or vigorous physical activity for 20+ minutes three or more days per week",Yes,Less than H.S.,Education Attained,90,33.3,25.7,40.9,2187,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,11,EDUCA1,CAT5,_RFPAMOD,RESP046,"(38.890371385, -77.031961127)"
2002,NH,New Hampshire,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,Overall,Overall,2292,46.6,45.0,48.2,754,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,33,BO1,CAT1,_SMOKER2,RESP071,"(43.655950113, -71.50036092)"
2007,CA,California,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,H.S. or G.E.D.,Education Attained,107,36.4,29.5,43.3,1971,%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,6,EDUCA2,CAT5,_PNEUMO2,RESP054,"(37.638640123, -120.999999538)"
2005,ND,North Dakota,Demographics,Race,What is your race/ethnicity?,MultiRacial,Some post-H.S.,Education Attained,14,1.2,0.5,1.9,1080,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,38,EDUCA3,CAT5,RACE,RESP008,"(47.475319779, -100.118421049)"
2003,SC,South Carolina,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis,No,"Other, non-Hispanic",Race/Ethnicity,86,85.7,78.3,93.1,1965,%,Crude Prevalence,,,BRFSS,CLASS03,Topic05,45,RACE4,CAT4,HAVARTH2,RESP054,"(33.998821303, -81.045371207)"
2009,FL,Florida,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,302,21.0,17.2,24.9,2238,%,Crude Prevalence,,,BRFSS,CLASS03,Topic05,12,RACE2,CAT4,_DRDXART,RESP046,"(28.932040377, -81.928960539)"
2007,NH,New Hampshire,Demographics,Income,What is your annual household income?,"Less than $15,000",18-24,Age Group,9,4.9,1.2,8.6,1567,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,33,AGE01,CAT3,INCOME,RESP016,"(43.655950113, -71.50036092)"
1996,LA,Louisiana,Demographics,Age,What is your age?,18-24 years,"Black, non-Hispanic",Race/Ethnicity,49,17.5,12.4,22.6,666,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,22,RACE2,CAT4,AGE,RESP010,"(31.312660644, -92.445680071)"
2001,ME,Maine,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,Less than H.S.,Education Attained,35,17.9,11.8,24.0,436,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,23,EDUCA1,CAT5,BLOODCHO,RESP054,"(45.254228894001, -68.985031336)"
2000,NE,Nebraska,Demographics,Employment,What is your employment status?,Emplyd,"$15,000-$24,999",Household Income,253,49.5,44.4,54.6,1255,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,31,INCOME2,CAT6,EMPLOY,RESP025,"(41.641040988001, -99.365720623)"
2010,AK,Alaska,Demographics,Employment,What is your employment status?,No work< yr,35-44,Age Group,20,3.9,1.6,6.2,1565,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,2,AGE03,CAT3,EMPLOY,RESP027,"(64.845079957001, -147.722059036)"
2004,NJ,New Jersey,Demographics,Sex,Gender of respondent,Male,"$50,000+",Household Income,2525,53.3,51.7,54.9,1904,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,34,INCOME5,CAT6,SEX,RESP001,"(40.130570048, -74.273691288)"
2001,NJ,New Jersey,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,187,34.1,28.6,39.6,248,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,34,INCOME2,CAT6,_HCVU65,RESP054,"(40.130570048, -74.273691288)"
1999,NE,Nebraska,Demographics,Employment,What is your employment status?,Homemkr,"White, non-Hispanic",Race/Ethnicity,143,5.4,4.5,6.3,1354,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,31,RACE1,CAT4,EMPLOY,RESP029,"(41.641040988001, -99.365720623)"
2010,DC,District of Columbia,Demographics,Employment,What is your employment status?,No work< yr,Some post-H.S.,Education Attained,24,6.3,3.0,9.7,1638,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,11,EDUCA3,CAT5,EMPLOY,RESP027,"(38.890371385, -77.031961127)"
2010,WA,Washington,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,3135,88.2,86.9,89.5,217,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,53,AGE04,CAT3,_HCVU65,RESP046,"(47.522278629, -120.47001079)"
2004,WV,West Virginia,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Hispanic,Race/Ethnicity,9,,,,811,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS13,Topic04,54,RACE3,CAT4,_ALTEETH,RESP054,"(38.665510202, -80.712640135)"
2000,IL,Illinois,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",H.S. or G.E.D.,Education Attained,196,20.5,17.6,23.4,1377,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,17,EDUCA2,CAT5,INCOME,RESP019,"(40.485010283, -88.997710178)"
2001,ID,Idaho,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),College graduate,Education Attained,487,41.9,38.2,45.6,2050,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,16,EDUCA4,CAT5,_BMI2CAT,RESP040,"(43.682630005, -114.363730042)"
2006,MT,Montana,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Hispanic,Race/Ethnicity,80,,,,629,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS17,Topic15,30,RACE3,CAT4,_RFSMOK3,RESP054,"(47.066528972, -109.424420645)"
2009,NJ,New Jersey,Demographics,Marital Status,What is your marital status?,Never married,"White, non-Hispanic",Race/Ethnicity,989,16.8,14.9,18.7,1240,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,34,RACE1,CAT4,MARITAL,RESP037,"(40.130570048, -74.273691288)"
2007,TX,Texas,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,55-64,Age Group,418,12.4,10.8,14.0,750,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,48,AGE05,CAT3,_SMOKER3,RESP068,"(31.827240407, -99.426770206)"
2003,OK,Oklahoma,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"Black, non-Hispanic",Race/Ethnicity,157,31.4,26.3,36.5,276,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,40,RACE2,CAT4,_TOTINDA,RESP054,"(35.472031356, -97.521070214)"
2006,GA,Georgia,Demographics,Race,What is your race/ethnicity?,White,Male,Gender,2091,60.3,57.4,63.2,752,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,13,SEX1,CAT2,RACE,RESP005,"(32.839681093, -83.627580346)"
1997,CT,Connecticut,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,50-59,Age Group,150,81.3,75.2,87.4,1685,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,9,AGE07,CAT3,_MAM502Y,RESP046,"(41.56266102, -72.649840952)"
2004,WA,Washington,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"$50,000+",Household Income,5687,95.7,95.0,96.4,202,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,53,INCOME5,CAT6,HLTHPLAN,RESP046,"(47.522278629, -120.47001079)"
2008,CO,Colorado,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,65+,Age Group,2392,77.8,76.1,79.5,127,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,8,AGE09,CAT3,_RFHLTH,RESP061,"(38.843840757, -106.133610921)"
2002,ME,Maine,Demographics,Employment,What is your employment status?,Unable to work,"$50,000+",Household Income,3,0.4,0.0,0.9,1670,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,23,INCOME5,CAT6,EMPLOY,RESP032,"(45.254228894001, -68.985031336)"
2008,VA,Virginia,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,35-44,Age Group,501,64.9,60.1,69.7,399,%,Crude Prevalence,,,BRFSS,CLASS13,Topic57,51,AGE03,CAT3,_EXTETH2,RESP054,"(37.542680674, -78.457890463)"
1995,VA,Virginia,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,Female,Gender,640,60.6,57.3,63.9,594,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,51,SEX2,CAT2,_SMOKER1,RESP071,"(37.542680674, -78.457890463)"
2006,NH,New Hampshire,Demographics,Race,What is your race/ethnicity?,Hispanic,45-54,Age Group,16,1.1,0.5,1.7,772,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,33,AGE04,CAT3,RACE,RESP007,"(43.655950113, -71.50036092)"
2009,KS,Kansas,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,922,67.0,64.2,69.7,2173,%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,20,INCOME2,CAT6,_FLSHOT3,RESP046,"(38.3477403, -98.200781227)"
1996,CA,California,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,50-59,Age Group,257,80.6,75.6,85.6,1448,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,6,AGE07,CAT3,_RFMAM2Y,RESP046,"(37.638640123, -120.999999538)"
2003,WV,West Virginia,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,18-24,Age Group,185,92.5,88.9,96.1,376,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,54,AGE01,CAT3,_RFHYPE4,RESP054,"(38.665510202, -80.712640135)"
1998,NY,New York,Demographics,Marital Status,What is your marital status?,Widowed,55-64,Age Group,34,10.7,6.7,14.7,775,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,36,AGE05,CAT3,MARITAL,RESP035,"(42.827001032, -75.543970427)"
2005,ND,North Dakota,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,H.S. or G.E.D.,Education Attained,122,15.3,12.3,18.3,1422,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,38,EDUCA2,CAT5,_CHLDCNT,RESP094,"(47.475319779, -100.118421049)"
2008,NV,Nevada,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"White, non-Hispanic",Race/Ethnicity,3176,91.4,89.9,93.0,2039,%,Crude Prevalence,,,BRFSS,CLASS01,Topic30,32,RACE1,CAT4,_RFDRHV3,RESP054,"(39.49324039, -117.071840564)"
2004,NC,North Carolina,Demographics,Age,What is your age?,55-64 years,Male,Gender,1008,12.9,11.9,13.9,1071,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,37,SEX1,CAT2,AGE,RESP014,"(35.466220975, -79.159250463)"
1999,AR,Arkansas,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,25,,,,1902,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS11,Topic46,5,INCOME4,CAT6,_PNEUMOC,RESP046,"(34.748650124, -92.274490743)"
2007,AK,Alaska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"White, non-Hispanic",Race/Ethnicity,878,52.9,49.2,56.6,776,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,2,RACE1,CAT4,_SMOKER3,RESP071,"(64.845079957001, -147.722059036)"
2002,CA,California,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,50-59,Age Group,515,79.1,75.6,82.6,2140,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,6,AGE07,CAT3,_RFBLDST,RESP054,"(37.638640123, -120.999999538)"
2000,NH,New Hampshire,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,College graduate,Education Attained,43,5.5,3.8,7.2,989,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,33,EDUCA4,CAT5,_CHLDCNT,RESP092,"(43.655950113, -71.50036092)"
2002,NE,Nebraska,Demographics,Age,What is your age?,65+ years,Hispanic,Race/Ethnicity,22,6.9,3.7,10.1,1126,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,31,RACE3,CAT4,AGE,RESP015,"(41.641040988001, -99.365720623)"
2005,WI,Wisconsin,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"$25,000-$34,999",Household Income,383,47.1,42.6,51.6,890,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,55,INCOME3,CAT6,_SMOKER3,RESP071,"(44.393191174, -89.816370742)"
1996,RI,Rhode Island,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,37,,,,1510,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS18,Topic37,44,INCOME4,CAT6,_MAM502Y,RESP046,"(41.708280193, -71.522470314)"
2005,ME,Maine,Demographics,Employment,What is your employment status?,Self emplyd,18-24,Age Group,12,7.1,2.7,11.5,1584,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,23,AGE01,CAT3,EMPLOY,RESP026,"(45.254228894001, -68.985031336)"
2008,IA,Iowa,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,55-64,Age Group,1143,92.9,91.4,94.5,710,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,19,AGE05,CAT3,_CASTHMA,RESP054,"(42.469400913, -93.816490556)"
1998,DE,Delaware,Demographics,Income,What is your annual household income?,"$50,000+",Overall,Overall,681,40.0,37.0,43.0,1245,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,10,BO1,CAT1,INCOME,RESP020,"(39.008830667, -75.577741168)"
2003,IL,Illinois,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,College graduate,Education Attained,23,1.8,1.0,2.6,2058,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,17,EDUCA4,CAT5,USEEQUIP,RESP046,"(40.485010283, -88.997710178)"
2008,ND,North Dakota,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,55-64,Age Group,43,4.0,2.8,5.3,1448,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,38,AGE05,CAT3,EDUCA,RESP021,"(47.475319779, -100.118421049)"
2004,CO,Colorado,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Less than H.S.,Education Attained,133,81.3,74.2,88.4,2092,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,8,EDUCA1,CAT5,_RFBLDST,RESP054,"(38.843840757, -106.133610921)"
1998,LA,Louisiana,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,H.S. or G.E.D.,Education Attained,492,85.7,82.7,88.7,138,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,22,EDUCA2,CAT5,_RFHLTH,RESP061,"(31.312660644, -92.445680071)"
2000,VA,Virginia,Demographics,Race,What is your race/ethnicity?,Other,55-64,Age Group,11,4.6,1.6,7.6,643,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,51,AGE05,CAT3,RACE,RESP009,"(37.542680674, -78.457890463)"
2003,MA,Massachusetts,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,55-64,Age Group,198,16.9,14.2,19.6,132,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,25,AGE05,CAT3,_RFHLTH,RESP062,"(42.27687047, -72.082690675)"
